"","year","county","pct_lbw","pct_lbw_aian","pct_lbw_asian","pct_lbw_biracial","pct_lbw_black","pct_lbw_hispanic","pct_lbw_nhopi","pct_lbw_white","tbr","tbr_aian","tbr_asian","tbr_biracial","tbr_black","tbr_hispanic","tbr_nhopi","tbr_white","num_hs_complete","pop_25plus","pct_hs_complete","num_some_college","pop_25_44","pct_some_college","pct_child_poverty","pct_child_poverty_aian","pct_child_poverty_asian","pct_child_poverty_black","pct_child_poverty_hispanic","pct_child_poverty_white","year_factor","county_factor","racial_data_available"
"1",2014,"State Total",10.4,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,60758,1226909,74,703973,1226909,57.4,28,NA,NA,NA,NA,NA,"2014","State Total","None/Limited"
"2",2014,"Autauga",9.3,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,764,14507,80,7940,14507,54.7,19,NA,NA,NA,NA,NA,"2014","Autauga","None/Limited"
"3",2014,"Baldwin",8.9,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,2326,44796,74,27677,44796,61.8,21,NA,NA,NA,NA,NA,"2014","Baldwin","None/Limited"
"4",2014,"Barbour",12.3,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,332,7448,61,3084,7448,41.4,47,NA,NA,NA,NA,NA,"2014","Barbour","None/Limited"
"5",2014,"Bibb",12.7,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,261,6136,73,2712,6136,44.2,27,NA,NA,NA,NA,NA,"2014","Bibb","None/Limited"
"6",2014,"Blount",7.7,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,713,14729,81,6816,14729,46.3,23,NA,NA,NA,NA,NA,"2014","Blount","None/Limited"
"7",2014,"Bullock",13.7,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,112,3193,73,1148,3193,36,43,NA,NA,NA,NA,NA,"2014","Bullock","None/Limited"
"8",2014,"Butler",10.4,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,309,4830,72,2230,4830,46.2,42,NA,NA,NA,NA,NA,"2014","Butler","None/Limited"
"9",2014,"Calhoun",9,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,1455,29384,79,14926,29384,50.8,31,NA,NA,NA,NA,NA,"2014","Calhoun","None/Limited"
"10",2014,"Chambers",11.7,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,320,8184,80,3853,8184,47.1,35,NA,NA,NA,NA,NA,"2014","Chambers","None/Limited"
"11",2014,"Cherokee",8.9,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,334,5858,72,3132,5858,53.5,30,NA,NA,NA,NA,NA,"2014","Cherokee","None/Limited"
"12",2014,"Chilton",9.8,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,621,11584,73,5020,11584,43.3,30,NA,NA,NA,NA,NA,"2014","Chilton","None/Limited"
"13",2014,"Choctaw",11.6,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,158,2970,78,1292,2970,43.5,30,NA,NA,NA,NA,NA,"2014","Choctaw","None/Limited"
"14",2014,"Clarke",12.9,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,451,5963,78,2734,5963,45.8,32,NA,NA,NA,NA,NA,"2014","Clarke","None/Limited"
"15",2014,"Clay",10.7,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,166,3470,83,1420,3470,40.9,30,NA,NA,NA,NA,NA,"2014","Clay","None/Limited"
"16",2014,"Cleburne",8.5,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,225,3685,92,1734,3685,47.1,26,NA,NA,NA,NA,NA,"2014","Cleburne","None/Limited"
"17",2014,"Coffee",8.9,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,743,13193,85,7838,13193,59.4,23,NA,NA,NA,NA,NA,"2014","Coffee","None/Limited"
"18",2014,"Colbert",10.2,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,656,13070,76,7365,13070,56.4,25,NA,NA,NA,NA,NA,"2014","Colbert","None/Limited"
"19",2014,"Conecuh",12.4,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,155,2641,78,1072,2641,40.6,46,NA,NA,NA,NA,NA,"2014","Conecuh","None/Limited"
