*Data for measures with an asterisk should not be compared with prior years due to changes in definition.,,,Premature death (Years of Potential Life Lost),,,,,Poor or fair health,,,,,Poor physical health days,,,,,Poor mental health days,,,,,Low birthweight,,,,,,,Adult smoking,,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,,Alcohol-impaired driving deaths,,,,Sexually transmitted infections,,,Teen births,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists^,,,Previous Dentists data -- used to calculate rankings^,,,,Mental health providers^,,,Previous Mental health providers data -- used to calculate rankings^,,,,Preventable hospital stays (Ambulatory Care Sensitive Conditions),,,,,Diabetic screening,,,,,Mammography screening,,,,,High school graduation*,,,Some college (post-secondary education),,,,,,Unemployment,,,,Children in poverty,,,,,Inadequate social support,,,,,Children in single-parent households,,,,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,,Severe housing problems,,,,,Driving alone to work,,,,,,Long commute - driving alone,,,,
FIPS,State,County,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,LBW Births,Live Births,% LBW,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Z-Score,Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# PCP,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# MHP,MHP Rate,MHP Ratio,# MHP,MHP Rate,MHP Ratio,Z-Score,# Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% HbA1c,95% CI - Low,95% CI - High,Z-Score,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,Cohort size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,Annual Violent Crimes,Violent Crime Rate,Z-Score,Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average daily PM25,Z-Score,% pop in viol,Pop. In Viol,Z-Score,# Household with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,# Drive Alone,Workers,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,Workers who Drive Alone,Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
01000,Alabama,,70721,9609,9509,9708,,45249,21,20,21,,43998,4.3,4.2,4.4,,44330,4.3,4.1,4.4,,,45123,434583,10.4,10.3,10.5,,45143,22,21,23,,33,,,,7,,31,,,,52,,43790,12,12,13,,1273,4438,29,,29626,617,,55720,1164064,48,48,48,,669410,17,16,17,,2980,62,1612:1,,2089,43,2308:1,2089,42,2363:1,,,,,2640,53,1870:1,,501422,76,76,77,,69691,84,83,85,,42267,62.8,62.0,63.5,,60758,74,,703973,1226909,57.4,56.8,57.9,,157119,2156304,7.3,,306451,28,27,28,,32790,23,22,23,,419950,1121322,37,37,38,,19905,418,,18037,77,75,78,,12.8,,3,150048,,269165,15,15,15,,1675604,1988366,84,84,85,,1675604,32,32,32,
01001,Alabama,Autauga,729,8376,7522,9231,-1.14,407,23,18,29,-0.09,396,5.1,4.1,6.1,0.56,403,3.6,2.7,4.6,-1.03,,440,4708,9.3,8.5,10.2,-0.65,409,22,17,28,-0.16,31,26,36,-1.16,7,-0.51,29,25,35,-1.21,59,-1.29,394,17,12,23,1.60,13,51,25,-0.47,247,447,-0.52,565,14490,39,36,42,-1.12,6682,14,12,15,-1.80,21,38,2632:1,0.23,15,27,3701:1,15,27,3731:1,0.08,,,,1,2,55969:1,0.82,4698,75,67,83,-0.49,645,87,80,94,-0.90,425,66.6,58.8,74.3,-1.15,764,80,-0.48,7940,14507,54.7,49.8,59.6,-0.61,1644,25480,6.5,-0.92,2648,19,14,23,-1.52,293,24,18,31,0.17,4388,14566,30,26,35,-0.91,162,303,-0.28,185,70,60,80,-0.80,12.9,0.64,0,0,-0.59,2300,12,10,14,-0.86,21393,24369,88,86,90,1.39,21393,42,38,46,0.71
01003,Alabama,Baldwin,2325,7770,7292,8249,-1.47,1664,13,11,15,-2.05,1622,3.3,2.7,3.9,-1.74,1628,3.8,3.1,4.5,-0.78,,1359,15353,8.9,8.4,9.3,-0.86,1657,21,18,24,-0.39,27,24,30,-2.15,8,-0.86,28,25,31,-1.74,58,-1.22,1600,18,15,21,1.98,43,135,32,0.18,563,302,-0.95,1800,38796,46,44,49,-0.47,25214,17,15,18,-0.43,140,75,1334:1,-1.48,84,44,2271:1,84,44,2298:1,-1.09,,,,88,46,2194:1,-0.26,22090,54,51,57,-1.38,2436,80,77,84,0.61,1841,67.1,63.3,70.8,-1.25,2326,74,0.30,27677,44796,61.8,58.5,65.1,-1.40,5666,83743,6.8,-0.78,8723,21,16,25,-1.29,1244,19,16,23,-0.74,11699,41962,28,25,31,-1.10,387,213,-0.76,669,76,70,82,-0.39,13.1,1.66,4,7845,-0.14,9370,13,12,15,-0.30,66189,79588,83,82,85,-0.05,66189,35,33,37,-0.02
01005,Alabama,Barbour,422,9458,8108,10808,-0.53,423,23,19,29,0.02,414,4.8,3.5,6.1,0.17,416,4.3,2.8,5.8,-0.17,,304,2470,12.3,11.0,13.6,0.91,425,25,18,33,0.57,37,32,43,0.56,5,0.81,35,30,40,0.42,11,1.12,414,14,8,22,0.58,10,21,48,1.79,237,874,0.75,446,6045,74,67,81,1.92,3810,19,17,21,0.77,12,44,2260:1,-0.06,10,37,2720:1,10,33,3060:1,-0.33,,,,1,3,30596:1,0.79,3006,101,90,112,0.61,453,88,79,96,-1.09,282,64.5,55.2,73.9,-0.76,332,61,2.05,3084,7448,41.4,36.5,46.3,0.89,1016,9088,11.2,1.13,2683,47,39,55,1.65,283,18,12,26,-1.10,3350,5992,56,50,62,1.33,43,154,-1.07,73,53,41,66,-1.85,12.6,-0.80,32,11504,2.81,1650,17,14,20,0.72,7431,8990,83,81,85,-0.20,7431,32,27,36,-0.43
01007,Alabama,Bibb,390,11544,9945,13143,0.63,379,18,14,23,-1.04,367,4.7,3.5,6.0,0.05,370,5.1,3.9,6.4,0.82,,230,1808,12.7,11.2,14.3,1.12,379,26,19,34,0.74,34,29,40,-0.20,8,-0.73,37,32,43,1.01,18,0.78,366,11,7,17,-0.15,8,29,28,-0.26,106,466,-0.46,252,5114,49,43,55,-0.22,2827,16,14,18,-0.75,5,22,4553:1,0.97,4,18,5649:1,4,16,6207:1,0.84,,,,,,,0.00,1906,90,76,104,0.12,313,83,73,93,0.03,184,62.0,50.6,73.3,-0.27,261,73,0.43,2712,6136,44.2,37.3,51.1,0.57,694,9083,7.6,-0.40,1297,27,20,35,-0.55,264,29,22,38,1.29,2067,5262,39,28,51,-0.11,57,254,-0.54,111,98,80,116,0.96,12.9,0.40,0,0,-0.59,710,10,6,13,-1.50,6888,8366,82,78,86,-0.31,6888,50,42,57,1.57
01009,Alabama,Blount,826,8506,7672,9339,-1.06,367,24,18,32,0.18,360,5.9,4.0,7.7,1.58,358,3.9,2.6,5.2,-0.66,,379,4925,7.7,7.0,8.4,-1.49,368,21,16,28,-0.24,30,25,36,-1.19,9,-1.28,35,29,41,0.42,15,0.93,362,6,3,10,-1.96,14,60,23,-0.69,101,175,-1.32,615,12929,48,44,51,-0.37,8807,18,16,20,0.33,11,19,5243:1,1.10,11,19,5257:1,11,19,5301:1,0.64,,,,2,3,29158:1,0.78,3949,91,81,101,0.18,570,84,76,91,-0.14,341,62.8,54.3,71.2,-0.42,713,81,-0.62,6816,14729,46.3,41.9,50.7,0.34,1639,26358,6.2,-1.02,3179,23,18,28,-1.00,278,14,10,19,-1.78,3541,13976,25,19,31,-1.32,95,164,-1.02,253,89,78,100,0.42,12.7,-0.61,3,2133,-0.23,2595,13,11,14,-0.57,18606,23117,80,78,83,-0.88,18606,60,56,65,2.73
01011,Alabama,Bullock,192,9884,7945,11822,-0.30,104,23,16,33,-0.05,101,4.2,2.1,6.4,-0.59,,,,,0.00,,169,1233,13.7,11.8,15.6,1.64,103,38,21,58,3.00,42,34,50,1.78,4,1.90,33,26,40,-0.31,29,0.24,,,,,0.00,8,20,40,1.01,148,1404,2.32,226,2655,85,74,96,2.91,1200,16,14,18,-0.87,3,28,3514:1,0.67,2,19,5237:1,2,16,6083:1,0.81,,,,1,8,12166:1,0.67,1075,91,74,107,0.16,204,81,69,94,0.35,101,48.5,34.9,62.1,2.29,112,73,0.50,1148,3193,36.0,26.3,45.6,1.50,473,3533,13.4,2.09,949,43,32,55,1.23,,,,,0.00,1559,2383,65,52,79,2.16,36,334,-0.11,56,103,77,133,1.23,12.8,-0.18,15,2168,1.07,525,14,9,19,-0.12,3373,4009,84,78,90,0.26,3373,45,32,58,1.01
01013,Alabama,Butler,389,11006,9423,12589,0.33,372,20,16,24,-0.65,358,3.9,2.7,5.1,-0.97,358,3.5,2.2,4.8,-1.15,,200,1932,10.4,9.0,11.7,-0.08,373,31,23,40,1.72,38,33,43,0.82,6,0.20,37,32,42,0.98,47,-0.69,356,11,7,18,-0.25,4,26,15,-1.51,132,639,0.05,294,4783,61,54,69,0.84,2803,16,14,18,-0.54,7,34,2950:1,0.42,6,30,3385:1,6,29,3440:1,-0.08,,,,4,19,5160:1,0.39,2900,128,116,141,1.76,451,78,69,86,1.21,236,58.1,48.3,67.8,0.47,309,72,0.56,2230,4830,46.2,39.6,52.7,0.35,966,8903,10.9,0.99,1959,42,34,50,1.11,270,28,19,38,0.98,2454,4969,49,44,55,0.76,94,453,0.52,74,71,56,89,-0.73,12.8,0.16,25,6698,2.10,1325,17,13,20,0.62,6763,7624,89,85,92,1.68,6763,32,27,37,-0.36
01015,Alabama,Calhoun,2042,11097,10411,11783,0.38,1458,23,20,26,-0.11,1418,5.2,4.5,5.9,0.68,1426,5.1,4.4,5.8,0.82,,931,10328,9.0,8.5,9.6,-0.81,1456,24,21,28,0.42,33,30,37,-0.48,7,0.01,33,30,37,-0.07,41,-0.34,1404,12,9,15,-0.02,17,85,20,-1.04,781,663,0.12,1464,28869,51,48,53,-0.10,16663,17,15,19,-0.24,79,67,1491:1,-1.12,55,47,2133:1,55,46,2185:1,-1.25,,,,76,63,1581:1,-0.69,15783,92,87,96,0.20,2205,80,76,83,0.73,1323,55.2,51.2,59.2,1.02,1455,79,-0.32,14926,29384,50.8,47.6,54.0,-0.17,3966,52372,7.6,-0.43,8212,31,26,37,-0.08,1063,22,19,26,-0.10,10305,26587,39,35,43,-0.16,649,553,1.06,459,78,71,86,-0.26,12.9,0.50,0,0,-0.59,6710,14,13,16,-0.01,38810,45958,84,83,86,0.35,38810,27,24,29,-0.97
01017,Alabama,Chambers,643,10368,9162,11574,-0.02,385,39,29,49,2.95,359,5.0,3.7,6.3,0.43,371,4.3,3.1,5.5,-0.17,,328,2813,11.7,10.5,12.8,0.60,385,24,18,31,0.36,35,30,41,0.08,6,0.38,39,33,44,1.50,34,-0.03,,,,,0.00,12,48,25,-0.52,260,766,0.43,497,7933,63,57,68,0.94,5039,18,16,20,0.26,13,38,2611:1,0.21,8,23,4258:1,8,23,4315:1,0.34,,,,,,,0.00,4635,89,80,97,0.08,781,84,77,90,-0.23,433,65.8,58.2,73.5,-1.01,320,80,-0.48,3853,8184,47.1,41.3,52.9,0.25,1360,14659,9.3,0.31,2557,35,28,42,0.28,271,33,25,41,2.02,4011,7766,52,44,59,0.96,168,576,1.18,134,78,64,91,-0.31,13.0,0.89,0,0,-0.59,2345,17,14,20,0.81,10716,12700,84,81,87,0.33,10716,33,29,38,-0.24
