,,,Premature death,,,,,Poor or fair health,,,,,Poor physical health days,,,,,Poor mental health days,,,,,Low birthweight,,,,,,,Adult smoking,,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,,Excessive drinking,,,,,Alcohol-impaired driving deaths,,,,Sexually transmitted infections,,,Teen births,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers^,,,Previous Mental health providers data -- used to calculate rankings^,,,,Preventable hospital stays,,,,,Diabetic monitoring,,,,,Mammography screening,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,,Severe housing problems,,,,,Driving alone to work,,,,,,Long commute - driving alone,,,,
FIPS,State,County,# Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,# Low Birthweight Births,# Live births,% LBW,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,# With Access,% With Access,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Pop. In Viol,% Pop in Viol,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,# Drive Alone,# Workers,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
01000,Alabama,,72385,9508,9409,9607,,45249,21,20,21,,43998,4.3,4.2,4.4,,44330,4.3,4.1,4.4,,,44547,432647,10.3,10.2,10.4,,45143,22,21,23,,33,,,,6.7,,29,,,,3064048,64,,43790,12,12,13,,1204,4321,28,,30621,635,,54144,1160586,47,46,47,,633845,16,15,16,,3026,63,1594:1,,2143,44,2256:1,,3355,69,1441:1,3749,78,1289:1,,517526,72,71,72,,72392,84,84,85,,42535,62.7,62.0,63.5,,59056,77,,711680,1227971,58.0,57.4,58.5,,138199,2138048,6.5,,300649,27,26,28,,88984,17087,5.2,,426342,1114368,38,38,39,,6030,12.5,,20077,418,,17958,75,74,76,,12.8,,266708,5,,278230,15,15,15,,1676660,1973623,85,85,85,,1676660,32,32,33,
01001,Alabama,Autauga,754,8405,7554,9257,-1.11,407,23,18,29,-0.09,396,5.1,4.1,6.1,0.56,403,3.6,2.7,4.6,-1.03,,425,4678,9.1,8.3,9.9,-0.73,409,22,17,28,-0.16,31,26,36,-0.94,7.2,-0.50,28,23,33,-1.21,40210,74,-1.22,394,17,12,23,1.60,16,48,33,0.34,282,508,-0.39,531,14548,36,33,40,-1.26,6138,13,11,14,-2.12,18,32,3084:1,0.50,16,29,3453:1,0.01,7,13,7892:1,8,14,6906:1,0.64,4688,80,71,88,-0.04,689,85,78,91,-0.25,391,68.8,60.6,77.0,-1.58,768,81,-0.42,8145,14535,56.0,51.3,60.8,-0.69,1449,25477,5.7,-0.92,2724,20,15,24,-1.45,100692,24138,4.2,-1.48,4229,14273,30,25,35,-1.03,73,13.1,-0.34,139,254,-0.55,200,73,63,84,-0.50,12.9,0.64,0,0,-0.56,2450,12,10,14,-0.82,21372,24144,89,87,91,1.34,21372,42,38,46,0.66
01003,Alabama,Baldwin,2460,7457,7006,7908,-1.64,1664,13,11,15,-2.05,1622,3.3,2.7,3.9,-1.74,1628,3.8,3.1,4.5,-0.78,,1332,15363,8.7,8.2,9.1,-0.94,1657,21,18,24,-0.39,25,22,28,-2.43,7.6,-0.77,25,23,28,-2.05,134180,74,-1.22,1600,18,15,21,1.98,43,142,30,0.04,682,358,-0.83,1750,39297,45,42,47,-0.56,24378,16,14,17,-0.41,144,75,1325:1,-1.55,91,47,2149:1,-1.16,142,73,1377:1,157,80,1245:1,-0.60,22883,51,48,54,-1.21,2471,81,78,85,0.67,1888,66.1,62.4,69.8,-1.06,2321,74,0.58,28277,45251,62.5,59.2,65.8,-1.42,4895,83825,5.8,-0.85,8994,21,16,25,-1.31,97831,22148,4.4,-1.10,12415,42455,29,26,33,-1.07,222,11.6,0.14,407,221,-0.73,682,75,69,80,-0.43,13.1,1.66,2135,1,-0.47,9970,14,13,15,-0.30,67474,80619,84,82,85,-0.13,67474,35,33,37,-0.12
01005,Alabama,Barbour,414,8901,7580,10221,-0.83,423,23,19,29,0.02,414,4.8,3.5,6.1,0.17,416,4.3,2.8,5.8,-0.17,,284,2391,11.9,10.6,13.2,0.64,425,25,18,33,0.57,38,33,44,0.74,5.0,0.96,32,27,37,0.16,12121,44,0.23,414,14,8,22,0.58,10,23,43,1.32,195,717,0.21,425,5832,73,66,80,1.93,3468,18,16,19,0.60,12,44,2267:1,-0.06,10,37,2708:1,-0.52,1,4,27076:1,1,4,27076:1,0.85,3088,87,77,97,0.26,504,86,78,94,-0.53,301,61.8,52.9,70.7,-0.22,334,70,1.19,3156,7456,42.3,37.3,47.3,0.87,871,8674,10.0,1.10,2393,42,34,51,1.10,67861,12397,5.5,0.54,3273,5863,56,49,63,1.30,23,8.5,1.15,39,147,-1.14,77,56,44,70,-1.54,12.6,-0.80,19076,53,3.14,1780,19,16,21,0.98,7532,9163,82,81,83,-0.59,7532,33,28,38,-0.31
01007,Alabama,Bibb,407,10729,9124,12334,0.21,379,18,14,23,-1.04,367,4.7,3.5,6.0,0.05,370,5.1,3.9,6.4,0.82,,228,1783,12.8,11.2,14.3,1.09,379,26,19,34,0.74,37,32,44,0.48,7.6,-0.77,33,28,39,0.44,9037,39,0.46,366,11,7,17,-0.15,9,29,31,0.11,84,372,-0.79,254,4995,51,45,57,0.00,2627,15,13,17,-0.80,6,27,3766:1,0.77,4,18,5628:1,0.75,,,,,,,0.00,2022,71,59,83,-0.41,327,83,73,93,0.20,162,61.7,49.6,73.8,-0.21,268,80,-0.28,3053,6106,50.0,40.8,59.2,0.00,611,8920,6.8,-0.38,1664,36,29,42,0.34,73507,16285,4.5,-0.95,1867,5022,37,26,48,-0.36,24,10.6,0.46,54,236,-0.65,92,81,65,99,-0.06,12.9,0.40,0,0,-0.56,690,10,6,13,-1.59,6528,7845,83,81,86,-0.28,6528,48,40,55,1.25
01009,Alabama,Blount,861,8669,7802,9536,-0.96,367,24,18,32,0.18,360,5.9,4.0,7.7,1.58,358,3.9,2.6,5.2,-0.66,,381,4954,7.7,6.9,8.4,-1.42,368,21,16,28,-0.24,31,26,37,-1.04,8.5,-1.37,30,24,36,-0.62,14622,26,1.15,362,6,3,10,-1.96,11,61,18,-1.15,93,161,-1.39,610,12913,47,44,51,-0.32,8846,18,17,20,1.04,17,29,3402:1,0.64,11,19,5261:1,0.66,3,5,19291:1,3,5,19291:1,0.82,4991,85,76,93,0.17,735,86,79,93,-0.64,384,59.9,52.2,67.6,0.15,738,85,-1.01,7113,14459,49.2,44.6,53.8,0.09,1469,26199,5.6,-0.96,3637,27,22,31,-0.67,81149,20370,4.0,-1.77,3861,13974,28,23,33,-1.21,50,8.6,1.09,127,219,-0.74,264,92,81,103,0.61,12.7,-0.61,0,0,-0.56,2480,12,10,14,-0.94,18816,22580,83,81,86,-0.24,18816,58,54,63,2.44
01011,Alabama,Bullock,180,10744,8357,13130,0.22,104,23,16,33,-0.05,101,4.2,2.1,6.4,-0.59,,,,,0.00,,161,1181,13.6,11.7,15.6,1.50,103,38,21,58,3.00,43,35,51,1.87,3.8,1.76,33,26,40,0.32,2558,23,1.25,,,,,0.00,10,24,42,1.15,101,964,0.93,212,2506,85,73,96,2.96,1302,18,15,20,0.61,4,38,2619:1,0.22,2,19,5320:1,0.68,1,9,10639:1,3,28,3546:1,0.38,1127,68,54,82,-0.51,201,77,65,89,1.68,89,51.7,36.7,66.6,1.74,170,73,0.79,1147,3211,35.7,26.0,45.5,1.61,418,3486,12.0,2.00,974,44,33,56,1.30,69634,13230,5.3,0.21,1441,2309,62,45,79,1.89,12,11.5,0.20,31,283,-0.39,46,85,63,114,0.22,12.8,-0.18,2168,15,0.53,505,13,9,18,-0.49,3312,4013,83,77,89,-0.49,3312,47,34,59,1.18
01013,Alabama,Butler,375,10357,8802,11913,0.00,372,20,16,24,-0.65,358,3.9,2.7,5.1,-0.97,358,3.5,2.2,4.8,-1.15,,207,1916,10.8,9.4,12.2,0.11,373,31,23,40,1.72,38,33,44,0.74,6.0,0.30,37,32,43,1.72,10488,50,-0.06,356,11,7,18,-0.25,5,23,22,-0.79,150,739,0.27,287,4531,63,56,71,1.10,2771,17,15,19,0.06,7,34,2901:1,0.40,5,25,4053:1,0.29,3,15,6755:1,5,25,4053:1,0.45,2789,117,105,129,1.50,452,86,78,95,-0.62,224,60.3,50.1,70.4,0.07,307,66,1.72,2141,4826,44.4,38.1,50.6,0.64,825,8857,9.3,0.76,1864,40,32,48,0.81,62639,12281,5.1,-0.04,2499,4880,51,44,58,0.89,24,11.8,0.08,101,483,0.71,86,83,66,102,0.07,12.8,0.16,13395,50,2.98,1440,18,15,21,0.76,6641,7529,88,86,90,1.25,6641,33,28,38,-0.34
01015,Alabama,Calhoun,2081,10539,9883,11194,0.10,1458,23,20,26,-0.11,1418,5.2,4.5,5.9,0.68,1426,5.1,4.4,5.8,0.82,,882,10151,8.7,8.1,9.2,-0.93,1456,24,21,28,0.42,32,28,35,-0.90,6.4,0.03,33,30,37,0.44,67311,57,-0.39,1404,12,9,15,-0.02,16,71,23,-0.72,803,685,0.12,1414,28665,49,47,52,-0.13,14866,15,14,17,-0.69,75,64,1564:1,-1.00,61,52,1914:1,-1.54,99,85,1179:1,107,92,1091:1,-0.82,16302,85,80,89,0.16,2273,81,77,84,0.80,1363,57.0,53.0,61.0,0.71,1418,82,-0.54,14999,29228,51.3,48.0,54.7,-0.15,3655,50300,7.3,-0.19,7301,29,23,34,-0.43,78898,15277,5.2,0.06,10450,26390,40,36,44,-0.14,173,14.7,-0.85,599,505,0.82,459,78,71,85,-0.23,12.9,0.50,0,0,-0.56,6665,15,13,16,-0.18,38317,44746,86,84,88,0.46,38317,28,26,30,-0.87
