,,,,,Premature death,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,Diabetes monitoring,,,,,,,Mammography screening,,,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,Driving alone to work,,,,,,,Long commute - driving alone,,,,
FIPS,State,Year,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Years of Potential Life Lost Rate (Black),Years of Potential Life Lost Rate (Hispanic),Years of Potential Life Lost Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,% Receiving HbA1c (Black),% Receiving HbA1c (White),# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,% Mammography (Black),% Mammography (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
01000,Alabama,2018,,"78,721",9642,9542,9743,,,,,21,20,23,,4.4,4.1,4.7,,4.6,4.3,4.9,,,10,10,10,,,,,22,20,23,,35,,,,5.6,,29,,,,63,,14,13,15,,1146,4426,26,25,27,,26359,544,,36,35,36,,,,,475233,12,12,12,,3166,65,1535:1,,2274,47,2139:1,,4105,84,1185:1,,404987,62,61,63,,76238,85,84,86,,1,1,48751,62.8,62.1,63.5,,62.6,62.8,54493,89,,734525,1232780,59.6,59.0,60.2,,129835,2168612,6.0,,25,24,26,,,,,92467,17560,5.3,,417439,1095942,38,37,39,,5962,12.3,,21082,436,,18653,77,76,78,,10.1,,,,284745,15,15,16,,86,86,86,,,,,1727392,33,33,34,
01001,Alabama,2018,Autauga,827,9409,8492,10326,-0.57,11806,,9148,18,18,19,-1.11,4.2,4.0,4.4,-1.15,4.3,4.1,4.5,-1.33,,9,8,9,-0.95,13,,7,19,18,20,-0.87,36,31,42,-0.13,7.1,-0.27,31,26,36,-0.04,71,-1.20,17,16,18,1.34,15,56,27,20,34,-0.11,189,341,-0.75,28,25,31,-1.32,32,38,27,4431,9,8,11,-1.90,25,45,2214:1,0.03,18,32,3079:1,-0.16,7,13,7917:1,0.66,3834,82,73,91,0.56,711,84,77,91,0.19,74,86,453,62.7,55.4,70.0,-0.42,58.3,63.2,706,90,-0.09,8867,14315,61.9,56.3,67.6,-1.16,1352,25649,5.3,-0.88,19,15,24,-1.12,28,17,14,101520,23134,4.4,-0.92,3368,13763,24,20,29,-1.24,77,13.9,-0.58,145,266,-0.60,201,73,63,83,-0.66,10.8,0.59,No,-0.28,3090,15,13,18,0.01,87,85,88,0.50,82,,83,21082,41,37,45,0.43
01003,Alabama,2018,Baldwin,"2,753",7468,7026,7909,-1.49,10336,2827,7484,18,18,19,-1.20,4.1,3.9,4.3,-1.37,4.2,4.1,4.4,-1.52,,8,8,9,-1.00,14,5,8,17,16,17,-2.20,29,27,32,-1.98,7.9,-0.84,25,22,27,-2.21,69,-1.07,17,16,17,1.25,48,158,30,26,34,0.22,678,339,-0.76,32,30,34,-0.90,39,58,29,18751,12,10,13,-0.62,148,73,1376:1,-1.20,103,49,2025:1,-1.19,186,89,1121:1,-0.61,18797,46,43,49,-1.08,2615,83,80,87,0.42,82,83,2186,66.0,62.6,69.4,-1.12,65.8,66.0,2236,85,1.13,30196,47361,63.8,60.1,67.4,-1.36,4870,89931,5.4,-0.80,18,13,22,-1.29,41,10,15,102624,22306,4.6,-0.69,11348,43965,26,22,29,-1.15,225,11.0,0.35,415,217,-0.89,714,71,66,77,-0.73,9.6,-0.91,No,-0.28,10455,14,13,16,-0.26,85,83,86,-0.27,86,69,85,73058,40,38,43,0.35
01005,Alabama,2018,Barbour,418,8929,7634,10225,-0.80,9141,,8896,26,25,26,0.69,5.1,4.9,5.2,0.78,4.6,4.5,4.8,-0.24,,12,10,13,0.58,16,5,8,22,21,22,0.51,44,39,50,1.90,5.5,0.88,31,26,36,-0.14,53,-0.27,13,12,13,-0.95,10,28,36,26,45,0.71,150,558,0.11,50,44,56,1.03,51,82,45,2482,13,12,15,0.45,11,42,2408:1,0.19,9,35,2885:1,-0.29,2,8,12983:1,0.74,2433,58,49,68,-0.52,525,89,81,97,-1.40,90,89,330,63.0,54.5,71.6,-0.49,53.4,68.4,245,86,0.84,2760,6948,39.7,34.7,44.8,1.28,718,8302,8.6,1.03,40,29,50,0.97,66,65,11,74150,12650,5.9,0.67,3212,5705,56,50,62,1.10,21,7.9,1.36,85,329,-0.23,89,67,54,82,-1.02,10.1,-0.28,No,-0.28,1395,15,13,18,0.02,83,80,86,-0.94,80,,86,7271,35,30,40,-0.22
01007,Alabama,2018,Bibb,408,11742,10058,13426,0.53,11297,,11923,20,19,21,-0.73,4.4,4.2,4.6,-0.78,4.3,4.1,4.5,-1.30,,11,10,13,0.35,19,,9,20,19,21,-0.42,38,32,45,0.39,7.6,-0.63,38,32,43,2.19,49,-0.05,16,15,17,0.82,8,29,28,18,38,-0.03,68,302,-0.91,47,41,54,0.72,35,,51,2027,12,10,14,-0.42,12,53,1882:1,-0.32,5,22,4529:1,0.48,2,9,11322:1,0.72,1460,93,77,109,1.06,333,82,72,92,0.80,73,83,199,61.3,50.4,72.2,-0.12,45.2,64.3,262,85,1.13,3068,6158,49.8,41.8,57.9,0.18,569,8573,6.6,-0.11,28,20,35,-0.27,48,,20,79882,18893,4.2,-1.09,1479,4706,31,20,43,-0.73,24,10.6,0.48,33,147,-1.29,108,96,78,114,0.72,10.5,0.21,No,-0.28,875,12,9,16,-0.85,85,80,90,-0.11,,,,7044,49,41,57,1.35
01009,Alabama,2018,Blount,996,9359,8463,10255,-0.60,,5133,9601,21,20,22,-0.46,4.5,4.3,4.7,-0.45,4.7,4.5,4.9,-0.02,,8,7,9,-1.34,14,7,8,20,19,20,-0.57,36,31,41,-0.29,8.5,-1.27,29,24,35,-0.68,32,0.78,15,15,16,0.52,11,55,20,13,27,-0.73,66,114,-1.65,40,36,43,-0.09,47,37,40,6609,14,12,16,0.84,12,21,4806:1,1.12,11,19,5246:1,0.67,5,9,11541:1,0.73,4188,58,50,65,-0.55,705,88,81,95,-0.94,,,433,59.6,52.3,66.9,0.25,,,720,91,-0.38,7551,14018,53.9,49.0,58.8,-0.27,1354,24525,5.5,-0.74,19,14,25,-1.11,15,57,21,83944,20634,4.1,-1.26,3691,13523,27,22,33,-1.04,51,8.8,1.06,123,212,-0.92,302,105,93,116,1.25,11.3,1.21,No,-0.28,2315,11,9,13,-1.24,86,85,88,0.27,,80,82,18384,60,56,65,2.66
01011,Alabama,2018,Bullock,209,12343,9818,14868,0.82,14094,,11158,29,29,30,1.58,5.2,5.0,5.4,1.14,4.8,4.6,5.0,0.29,,15,13,17,2.04,17,7,,23,23,24,1.62,40,32,49,0.86,4.5,1.60,30,24,37,-0.41,22,1.30,13,12,13,-0.84,16,24,67,59,73,3.00,79,734,0.81,66,55,77,2.68,66,113,42,1080,15,13,16,1.16,3,28,3565:1,0.80,2,19,5181:1,0.65,1,10,10362:1,0.71,890,67,51,83,-0.13,212,86,73,98,-0.39,85,88,110,60.0,45.5,74.5,0.16,61.0,57.1,121,88,0.52,969,2874,33.7,23.3,44.2,1.94,345,4811,7.2,0.19,46,33,59,1.60,,,,63780,10548,6.0,0.87,1632,2269,72,60,84,2.25,10,9.3,0.90,32,302,-0.39,58,110,83,142,1.55,9.8,-0.66,No,-0.28,675,18,12,24,0.86,76,71,81,-3.00,76,,79,3184,38,26,49,0.08
01013,Alabama,2018,Butler,422,12779,10877,14681,1.02,15168,,11226,27,26,27,0.86,5.1,4.9,5.3,0.89,5.1,4.9,5.3,1.43,,12,10,13,0.52,13,,10,22,21,23,0.89,36,30,42,-0.24,6.5,0.16,34,28,40,0.98,46,0.08,13,13,14,-0.76,11,40,28,19,36,-0.04,168,828,1.19,43,37,50,0.31,41,,47,1998,12,11,14,-0.19,7,35,2879:1,0.50,6,30,3333:1,0.00,5,25,4000:1,0.46,2338,93,81,105,1.07,539,81,73,88,1.19,79,82,271,62.4,53.0,71.8,-0.34,57.6,64.5,235,83,1.61,2060,4879,42.2,36.5,47.9,1.01,651,9132,7.1,0.17,37,28,45,0.66,54,,21,73025,14452,5.1,-0.20,2392,4699,51,43,59,0.70,22,10.9,0.39,106,523,0.91,98,97,79,118,0.80,9.4,-1.16,No,-0.28,1225,15,12,17,-0.10,85,81,89,-0.11,89,,88,6544,32,27,36,-0.61
01015,Alabama,2018,Calhoun,"2,286",11528,10818,12237,0.43,13353,5819,11430,20,19,20,-0.83,4.3,4.1,4.4,-0.95,4.5,4.3,4.6,-0.77,,9,8,9,-0.86,13,5,7,20,20,21,-0.10,36,33,40,-0.21,6.8,-0.05,33,29,36,0.50,48,-0.03,15,15,16,0.55,16,70,23,17,29,-0.47,681,588,0.23,40,37,42,-0.08,44,40,38,10764,11,10,13,-0.70,75,65,1542:1,-0.85,69,60,1661:1,-1.85,108,94,1061:1,-0.69,12611,73,68,78,0.14,2488,81,78,85,1.02,79,82,1559,56.9,53.2,60.6,0.83,59.8,56.5,1316,92,-0.62,16341,28798,56.7,53.0,60.4,-0.59,3067,45794,6.7,-0.08,26,20,31,-0.46,60,30,18,82414,16952,4.9,-0.41,9736,25367,38,35,42,-0.22,162,14.0,-0.61,673,574,1.21,430,74,67,81,-0.57,11.6,1.58,No,-0.28,6935,15,14,17,0.03,85,83,87,-0.14,86,83,88,38921,29,27,32,-0.88
