,,,,Premature death,,,,,,,,,,,,,,,,,,,,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,,,,,,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,,,,,,,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,,,Mammography screening,,,,,,,Flu vaccinations,,,,,,,High school completion,,,,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,,,,,,,,,,,,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,,,,,,,,,Driving alone to work,,,,,,,,,,,,,,,,,,,Long commute - driving alone,,,,
FIPS,State,Year,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (white),YPLL Rate (white) 95% CI - Low,YPLL Rate (white) 95% CI - High,YPLL Rate (white) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (white),% LBW (white) 95% CI - Low,% LBW (white) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (white),Teen Birth Rate (white) 95% CI - Low,Teen Birth Rate (white) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (white),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (white),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (white),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (white),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (white),Injury Death Rate (white) 95% CI - Low,Injury Death Rate (white) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (white),% Drive Alone (white) 95% CI - Low,% Drive Alone (white) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
01000,Alabama,2022,,,88086,10350,10246,10454,,5967,4840,7094,,3411,2945,3876,,13245,13023,13467,,5244,4901,5588,,9563,9439,9686,,21,20,23,,4.8,4.5,5.1,,5.6,5.3,6.0,,,10,10,11,,10,8,12,9,9,10,16,16,16,7,7,8,8,8,8,21,20,23,,36,35,38,,5.3,,31,29,32,,57,,15,14,16,,1255,4848,26,25,27,,31228,636.9,,28,27,28,,14,11,17,4,3,5,34,33,35,52,50,54,23,23,23,457718,12,11,12,,3228,66,1519:1,,2429,49,2026:1,,5818,118,846:1,,4875,,8445,2704,6198,4263,4597,42,,37,35,41,32,42,42,,39,42,30,32,45,2905059,3344006,87,87,87,,761762,1237123,62,61,62,,131065,2230132,5.9,,21,20,22,,26,12,38,38,13,106150,20580,5.2,,339392,1090304,31,31,32,,5960,12.2,,23307,480,,21249,87,86,88,,37,28,48,28,23,33,86,84,88,43,39,46,92,91,94,9.0,,,,14,13,14,12,12,12,2,2,2,1,1,1,,85,85,85,,80,78,81,76,74,79,83,83,84,77,76,79,86,86,86,2095195,35,35,36,
01001,Alabama,2022,Autauga,,836,8027,7198,8857,-1.57,,,,,,,,,11549,9369,13728,,,,,,7333,6411,8254,,20,18,23,-1.26,4.5,4.2,4.8,-1.28,5.4,5.1,5.7,-1.18,,10,9,11,-0.48,,,,,,,14,12,17,,,,8,7,9,20,17,22,-1.38,35,34,37,-0.71,6.5,0.19,32,30,35,-0.87,63,-1.03,16,15,17,0.64,18,56,32,25,39,0.35,323,578.1,-0.14,23,20,26,-1.18,,,,,,,29,23,37,,,,22,19,25,4366,9,8,11,-1.78,25,45,2235:1,0.02,19,34,2955:1,-0.04,21,37,2674:1,0.50,4931,-0.16,,,11278,,4356,42,-0.34,,,39,15,43,42,-0.45,,36,31,33,44,33587,37860,89,87,90,-1.35,8733,14382,61,55,67,-0.79,1262,25838,4.9,-0.63,15,9,20,-1.34,,17,50,14,16,109878,21396,5.1,-0.12,3628,13143,28,22,33,-0.55,72,12.9,-0.61,149,272,-0.63,191,69,59,78,-1.63,,,,,,,63,44,87,,,,73,61,84,9.5,0.92,No,-0.39,15,12,17,13,10,15,1,1,2,2,1,3,0.64,87,84,89,0.38,,,,,,,83,76,90,,,,83,78,89,24949,41,36,45,0.12
01003,Alabama,2022,Baldwin,,3377,8118,7667,8570,-1.53,,,,,,,,,11603,9971,13235,,4591,3232,6327,,8059,7555,8562,,17,15,20,-2.04,4.2,3.9,4.5,-2.01,5.2,4.8,5.5,-1.95,,8,8,9,-1.12,,,,9,5,13,15,13,17,6,5,8,8,7,8,20,17,23,-1.30,30,28,31,-2.17,7.4,-0.89,28,25,30,-1.97,75,-1.61,22,21,22,3.76,57,177,32,28,36,0.36,750,336.0,-1.01,24,22,25,-1.08,,,,,,,31,26,35,42,34,50,22,21,24,19085,11,10,12,-0.83,154,69,1450:1,-1.04,112,49,2047:1,-0.92,228,99,1006:1,-0.37,3578,-1.05,,4956,5689,2386,3503,44,-0.76,25,44,44,31,44,46,-1.07,43,50,31,35,47,140740,155563,90,89,91,-1.83,33289,50798,66,62,70,-1.28,5425,96763,5.6,-0.31,12,7,18,-1.66,31,,16,24,8,120479,27466,4.4,-1.03,8613,46902,18,15,22,-1.26,226,10.1,0.29,408,204,-1.00,817,75,70,80,-1.21,,,,,,,63,49,81,26,14,44,80,74,86,7.2,-2.37,No,-0.39,12,11,14,11,10,12,1,1,2,1,0,1,-0.18,83,81,85,-0.74,,,,,,,87,80,94,68,56,80,82,80,83,97098,38,35,41,-0.14
01005,Alabama,2022,Barbour,,539,12877,11150,14604,0.53,,,,,,,,,15534,12931,18136,,,,,,9950,7691,12209,,31,28,34,1.69,5.9,5.6,6.2,1.66,6.1,5.9,6.4,0.97,,12,10,13,0.53,,,,,,,16,14,18,,,,7,5,9,28,25,31,1.80,40,39,42,0.61,5.7,1.15,42,39,44,1.39,50,-0.41,14,13,15,-0.67,12,32,38,28,46,0.86,221,895.2,1.01,35,29,40,0.35,,,,,,,34,28,42,77,45,123,30,23,39,2194,13,11,15,0.44,9,36,2743:1,0.38,9,37,2732:1,-0.20,6,24,4098:1,0.68,4548,-0.41,,,5222,,4207,46,-1.17,,,46,,46,36,0.49,,,30,,37,13300,17797,75,72,77,2.43,2566,6690,38,33,44,1.50,605,8587,7.0,0.34,38,24,51,1.58,,,59,88,15,79175,13207,6.0,0.92,2822,5222,54,48,60,1.46,18,7.3,1.21,106,414,0.12,103,82,66,98,-0.73,,,,,,,82,61,108,,,,86,64,114,9.0,0.21,No,-0.39,15,13,18,13,11,16,3,2,5,0,0,1,0.90,84,81,87,-0.43,,,,,,,77,70,85,,,,87,83,90,8555,37,31,42,-0.26
01007,Alabama,2022,Bibb,,460,11191,9626,12757,-0.20,,,,,,,,,11737,8711,15474,,,,,,11369,9516,13222,,25,22,27,0.05,5.2,4.9,5.4,0.11,5.8,5.6,6.1,0.15,,10,9,11,-0.35,,,,,,,17,13,21,,,,8,7,10,25,23,28,0.78,41,40,42,0.81,7.6,-1.13,38,35,40,0.45,11,1.50,16,15,17,0.55,6,28,21,12,32,-0.66,121,540.3,-0.27,34,28,40,0.28,,,,,,,24,14,38,,,,36,29,43,1824,11,9,13,-0.78,13,58,1723:1,-0.56,6,27,3689:1,0.35,6,27,3689:1,0.64,6329,0.77,,,7592,,6232,37,0.69,,,41,,37,33,0.96,,,22,,35,12931,15987,81,78,84,0.77,2392,6333,38,31,44,1.56,573,8640,6.6,0.16,22,14,30,-0.43,,,42,8,25,87594,16239,5.4,0.19,1666,4539,37,25,49,0.14,20,8.9,0.68,20,89,-1.60,116,103,85,122,0.66,,,,,,,95,60,142,,,,109,88,134,9.4,0.78,No,-0.39,11,7,15,9,6,13,1,0,2,1,0,2,-0.62,88,84,91,0.66,,,,,,,,,,,,,,,,8107,55,47,63,1.65
01009,Alabama,2022,Blount,,1143,10787,9825,11749,-0.37,,,,,,,,,,,,,,,,,,,,,23,20,26,-0.43,4.9,4.6,5.3,-0.34,5.7,5.4,6.0,-0.19,,8,7,9,-1.36,,,,,,,,,,8,6,10,8,7,9,22,19,25,-0.40,39,37,40,0.17,7.8,-1.38,33,31,36,-0.60,23,0.88,16,15,17,0.65,14,93,15,10,21,-1.27,234,404.7,-0.76,30,26,33,-0.33,,,,,,,,,,31,23,41,30,26,33,6663,14,13,16,1.22,13,22,4448:1,1.00,11,19,5262:1,0.82,10,17,5788:1,0.78,4260,-0.60,,,10161,2138,4231,37,0.69,,,,32,37,40,-0.13,,,25,30,40,32976,39814,83,81,84,0.24,7843,13939,56,51,62,-0.33,1008,24661,4.1,-0.99,19,14,24,-0.82,,,3,39,15,100031,20993,4.8,-0.57,3012,13352,23,17,28,-0.94,43,7.4,1.16,279,483,0.48,303,105,93,117,0.75,,,,,,,,,,40,20,72,113,100,126,9.4,0.78,No,-0.39,10,9,12,8,6,9,2,1,2,1,1,2,-0.87,88,86,91,0.87,,,,,,,,,,78,36,100,84,81,87,22636,60,54,65,2.11
01011,Alabama,2022,Bullock,,203,11406,9005,13808,-0.11,,,,,,,,,,,,,,,,,,,,,31,28,34,1.69,5.5,5.2,5.8,0.87,5.7,5.4,6.0,-0.33,,15,13,17,2.00,,,,,,,18,15,21,8,3,12,,,,25,23,28,0.78,44,42,45,1.48,4.6,2.47,41,38,44,1.32,2,1.92,13,13,14,-0.95,8,23,35,24,46,0.60,75,742.5,0.46,40,32,51,1.09,,,,,,,40,30,52,73,39,124,,,,752,11,9,13,-0.71,3,30,3367:1,0.68,2,20,4988:1,0.76,2,20,4988:1,0.74,3775,-0.92,,,3875,,2988,41,-0.14,,,33,,56,28,1.74,,,21,,40,5084,6784,75,70,80,2.37,640,2279,28,18,39,2.55,265,4818,5.5,-0.35,39,24,53,1.73,,,56,67,,88821,10956,8.1,3.00,1333,2265,59,49,69,1.83,8,7.9,1.01,33,311,-0.43,50,98,73,130,0.33,,,,,,,107,76,147,,,,100,50,179,9.0,0.21,No,-0.39,17,12,23,17,11,24,0,0,1,2,0,4,1.55,80,75,86,-1.50,,,,,,,76,65,88,,,,83,79,88,3985,47,32,62,0.80
01013,Alabama,2022,Butler,,441,12717,10845,14589,0.46,,,,,,,,,14141,11401,16881,,,,,,12183,9437,14930,,27,25,30,0.62,5.3,5.1,5.6,0.50,6.0,5.7,6.2,0.48,,13,11,14,0.96,,,,,,,16,13,18,,,,9,7,11,25,22,27,0.54,40,38,41,0.43,6.9,-0.29,41,38,43,1.17,42,-0.01,14,13,14,-0.88,19,54,35,28,42,0.64,207,1064.4,1.62,39,33,45,0.89,,,,,,,39,32,48,,,,40,31,51,1755,12,10,13,-0.43,5,26,3890:1,0.86,7,36,2786:1,-0.16,13,67,1500:1,0.09,5885,0.47,,,6545,,5605,39,0.27,,,36,,41,28,1.74,,,22,,31,11934,13820,86,84,89,-0.71,1777,4787,37,30,44,1.62,801,9056,8.8,1.15,31,19,43,0.71,,,43,77,10,98464,17261,5.7,0.57,1809,4401,41,34,48,0.48,18,9.3,0.57,117,582,1.01,104,106,85,126,0.81,,,,,,,111,82,146,,,,106,79,138,8.8,-0.08,No,-0.39,13,10,15,11,8,13,2,1,3,1,0,2,-0.14,86,84,89,0.28,,,,,,,84,80,88,,,,88,84,92,7894,37,32,43,-0.23
01015,Alabama,2022,Calhoun,,2476,11826,11114,12538,0.08,,,,,,,,,12233,10678,13787,,,,,,12018,11174,12861,,24,22,26,-0.29,4.9,4.6,5.2,-0.36,5.7,5.4,6.1,-0.19,,9,9,10,-0.62,,,,,,,15,13,16,7,4,9,8,7,8,23,20,25,-0.24,36,35,37,-0.55,5.9,0.91,33,30,35,-0.77,49,-0.37,16,15,17,0.64,16,112,14,10,19,-1.34,829,729.7,0.41,30,28,33,-0.20,,,,,,,31,27,34,38,28,50,30,28,33,10767,12,10,13,-0.22,70,62,1623:1,-0.72,77,68,1474:1,-2.03,161,142,705:1,-0.95,5234,0.04,,,6297,5357,5073,35,1.10,,50,39,30,34,39,0.02,,48,28,28,40,67180,78967,85,84,86,-0.37,16656,28729,58,54,62,-0.51,3260,46240,7.1,0.35,17,9,24,-1.10,,14,37,17,13,97379,20477,4.8,-0.58,7621,24599,31,27,35,-0.30,152,13.4,-0.77,871,756,1.93,528,93,85,100,-0.05,,,,,,,74,60,91,45,22,83,102,92,112,9.4,0.78,No,-0.39,13,12,14,11,10,12,2,1,2,1,0,1,0.01,85,83,86,-0.26,,,,,,,86,83,90,88,77,99,87,86,89,47349,30,27,32,-0.97
