,,,Premature Death,,,,,,,,,,,,,,,,,,,,,,,,,,Poor or Fair Health,,,,Poor Physical Health Days,,,,Poor Mental Health Days,,,,Low Birthweight,,,,,,,,,,,,,,,,,,,,Adult Smoking,,,,Adult Obesity,,,,Food Environment Index,,Physical Inactivity,,,,Access to Exercise Opportunities,,Excessive Drinking,,,,Alcohol-Impaired Driving Deaths,,,,,,Sexually Transmitted Infections,,,Teen Births,,,,,,,,,,,,,,,,,,,Uninsured,,,,,Primary Care Physicians,,,,Dentists,,,,Mental Health Providers,,,,Preventable Hospital Stays,,,,,,,Mammography Screening,,,,,,,Flu Vaccinations,,,,,,,High School Completion,,,,,,Some College,,,,,,Unemployment,,,,Children in Poverty,,,,,,,,,Income Inequality,,,,Children in Single-Parent Households,,,,,,Social Associations,,,Injury Deaths,,,,,,,,,,,,,,,,,,,,Air Pollution - Particulate Matter,,Drinking Water Violations,,Severe Housing Problems,,,,,,,,,,,,,Driving Alone to Work,,,,,,,,,,,,,,,,,,,Long Commute - Driving Alone,,,,
FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Adults Reporting Currently Smoking,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% with Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
01000,Alabama,,,88086,10350,10246,10454,,5967,4840,7094,,3411,2945,3876,,13245,13023,13467,,5244,4901,5588,,9563,9439,9686,,19,18,20,,3.5,3.2,3.7,,5.1,4.7,5.4,,,10,10,11,,10,8,12,9,9,10,16,16,16,7,7,8,8,8,8,20,18,21,,39,37,41,,5.3,,28,26,30,,61,,16,15,18,,1255,4848,26,25,27,,27075,552.2,,28,27,28,,14,11,17,4,3,5,34,33,35,52,50,54,23,23,23,460936,12,11,12,,3238,66,1520:1,,2454,49,2054:1,,6321,125,797:1,,3599,,7955,2049,4725,3084,3358,36,,34,30,36,27,37,44,,29,45,33,34,46,2983756,3413803,87,87,88,,776360,1262357,62,61,62,,77275,2247001,3.4,,23,22,24,,23,12,38,37,12,112484,21729,5.2,,346161,1119928,31,30,32,,5862,11.9,,21249,87,86,88,,37,28,48,28,23,33,86,84,88,43,39,46,92,91,94,9.3,,,,13,13,13,11,11,12,2,2,2,1,1,1,,84,83,84,,76,70,81,75,73,76,83,82,84,75,73,76,85,85,85,2146674,35,35,35,
01001,Alabama,Autauga,,836,8027,7198,8857,-1.57,,,,,,,,,11549,9369,13728,,,,,,7333,6411,8254,,17,15,19,-1.14,3.4,3.1,3.7,-1.48,4.8,4.5,5.1,-2.04,,10,9,11,-0.48,,,,,,,14,12,17,,,,8,7,9,18,15,21,-1.29,37,36,39,-0.89,6.6,0.04,26,24,29,-1.07,56,-0.52,17,16,17,0.86,18,56,32,25,39,0.35,315,563.8,0.24,23,20,26,-1.18,,,,,,,29,23,37,,,,22,19,25,4902,11,9,12,-1.33,25,45,2246:1,0.01,19,32,3110:1,0.04,21,36,2814:1,0.58,4372,0.59,,15789,7325,,3824,38,-0.75,,33,31,20,40,42,-0.22,,25,35,29,43,35488,39614,90,88,91,-1.45,9048,15178,60,53,66,-0.73,742,26341,2.8,-0.64,16,11,22,-1.31,,10,41,19,11,114380,23857,4.8,-0.49,3694,13801,27,20,33,-0.57,71,12.6,-0.60,191,69,59,78,-1.63,,,,,,,63,44,87,,,,73,61,84,10.0,1.20,No,-0.39,14,12,17,13,10,15,1,0,2,2,1,3,0.76,86,84,89,0.46,,,,,,,81,73,90,,,,83,78,88,26458,42,36,47,0.25
01003,Alabama,Baldwin,,3377,8118,7667,8570,-1.53,,,,,,,,,11603,9971,13235,,4591,3232,6327,,8059,7555,8562,,15,13,17,-1.66,3.3,3.0,3.6,-1.88,4.8,4.5,5.1,-2.20,,8,8,9,-1.12,,,,9,5,13,15,13,17,6,5,8,8,7,8,17,14,20,-1.84,33,31,34,-1.99,7.5,-0.91,23,20,26,-1.87,66,-1.01,19,18,20,2.27,57,177,32,28,36,0.36,786,352.1,-0.70,24,22,25,-1.08,,,,,,,31,26,35,42,34,50,22,21,24,19391,11,9,12,-1.13,150,65,1529:1,-0.89,114,48,2099:1,-0.88,250,104,957:1,-0.37,2864,-0.92,,2048,4455,893,2789,39,-0.95,38,33,31,30,39,47,-1.04,39,47,35,37,48,147422,161977,91,90,92,-1.83,34799,52642,66,62,70,-1.41,2946,99427,3.0,-0.55,16,12,20,-1.28,73,8,26,28,7,126028,29304,4.3,-1.15,9151,48938,19,16,22,-1.17,220,9.6,0.39,817,75,70,80,-1.21,,,,,,,63,49,81,26,14,44,80,74,86,7.6,-2.12,Yes,2.52,12,11,14,11,9,12,1,1,2,1,0,1,-0.04,81,80,83,-0.78,,,,,,,83,70,96,58,49,67,80,79,82,102650,38,35,40,-0.16
01005,Alabama,Barbour,,539,12877,11150,14604,0.53,,,,,,,,,15534,12931,18136,,,,,,9950,7691,12209,,28,25,30,1.62,4.6,4.3,4.9,1.50,5.0,4.7,5.2,-1.44,,12,10,13,0.53,,,,,,,16,14,18,,,,7,5,9,26,23,29,1.69,46,45,48,1.25,5.8,0.88,36,33,38,1.26,55,-0.48,13,13,14,-1.10,12,32,38,28,46,0.86,155,627.9,0.53,35,29,40,0.35,,,,,,,34,28,42,77,45,123,30,23,39,2337,14,12,17,1.02,8,33,3074:1,0.53,8,32,3121:1,0.05,6,24,4161:1,0.73,3559,-0.22,,,4796,,2957,41,-1.35,,,46,,40,40,0.10,,,34,,42,13617,17995,76,73,78,2.33,2605,6744,39,33,45,1.47,469,8197,5.7,1.08,35,23,47,0.79,,,58,67,14,79460,15338,5.2,0.03,2845,5261,54,47,61,1.46,23,9.4,0.47,103,82,66,98,-0.73,,,,,,,82,61,108,,,,86,64,114,9.4,0.37,Yes,2.52,16,13,19,13,11,16,4,2,6,1,0,1,1.41,83,80,86,-0.35,,,,,,,79,73,86,,,,84,81,88,8461,37,31,42,-0.27
01007,Alabama,Bibb,,460,11191,9626,12757,-0.20,,,,,,,,,11737,8711,15474,,,,,,11369,9516,13222,,22,20,24,0.09,4.0,3.7,4.3,-0.01,5.4,5.1,5.6,0.12,,10,9,11,-0.35,,,,,,,17,13,21,,,,8,7,10,23,20,25,0.48,38,37,40,-0.63,7.4,-0.80,32,29,34,0.24,18,1.29,16,15,17,0.41,6,28,21,12,32,-0.66,123,549.3,0.18,34,28,40,0.28,,,,,,,24,14,38,,,,36,29,43,2097,13,11,15,0.18,14,63,1581:1,-0.79,6,27,3746:1,0.36,9,40,2497:1,0.51,4856,1.08,,,3754,,4542,31,0.65,,,24,,32,34,1.08,,,23,,35,12932,16057,81,77,84,1.01,2358,6396,37,29,45,1.65,298,8560,3.5,-0.24,29,22,36,0.11,,,51,18,22,95705,19008,5.0,-0.16,1345,4568,29,20,39,-0.37,20,9.0,0.57,116,103,85,122,0.66,,,,,,,95,60,142,,,,109,88,134,9.8,0.93,No,-0.39,11,7,15,8,4,12,1,0,2,2,0,4,-0.38,87,82,92,0.60,,,,,,,,,,,,,,,,7994,55,46,64,1.63
01009,Alabama,Blount,,1143,10787,9825,11749,-0.37,,,,,,,,,,,,,,,,,,,,,18,16,21,-0.75,3.9,3.5,4.2,-0.38,5.4,5.0,5.7,0.17,,8,7,9,-1.36,,,,,,,,,,8,6,10,8,7,9,22,19,25,0.08,33,31,34,-1.96,7.8,-1.22,29,26,31,-0.54,41,0.17,16,15,17,0.65,14,93,15,10,21,-1.27,168,290.5,-0.98,30,26,33,-0.33,,,,,,,,,,31,23,41,30,26,33,6156,13,11,15,0.33,12,21,4823:1,1.04,10,17,5904:1,0.94,12,20,4920:1,0.78,3010,-0.77,,,,,,32,0.45,,,25,14,32,42,-0.22,,,26,25,43,34018,40668,84,82,85,0.17,8045,14169,57,51,63,-0.44,598,25127,2.4,-0.89,17,11,22,-1.25,,,21,37,14,107757,22432,4.8,-0.47,3030,13661,22,16,28,-0.91,39,6.7,1.32,303,105,93,117,0.75,,,,,,,,,,40,20,72,113,100,126,9.6,0.65,No,-0.39,10,8,12,7,6,9,2,1,3,1,1,2,-0.90,86,84,88,0.47,,,,,,,,,,83,31,100,82,80,84,23918,60,54,65,2.09
01011,Alabama,Bullock,,203,11406,9005,13808,-0.11,,,,,,,,,,,,,,,,,,,,,30,27,33,2.19,4.7,4.4,5.0,1.73,5.1,4.9,5.4,-0.73,,15,13,17,2.00,,,,,,,18,15,21,8,3,12,,,,26,23,28,1.53,48,47,50,1.69,4.3,2.45,40,37,42,2.24,3,2.04,13,12,13,-1.50,8,23,35,24,46,0.60,79,782.1,1.22,40,32,51,1.09,,,,,,,40,30,52,73,39,124,,,,782,12,10,15,-0.21,3,30,3325:1,0.63,2,19,5160:1,0.80,2,19,5160:1,0.80,3047,-0.74,,,2346,,3063,35,-0.15,,,25,,51,32,1.41,,,28,,36,5337,6877,78,70,85,1.81,872,2455,36,23,48,1.79,184,4606,4.0,0.06,42,29,55,1.52,,,57,59,,71823,11447,6.3,1.49,1557,2301,68,60,75,2.47,7,7.0,1.23,50,98,73,130,0.33,,,,,,,107,76,147,,,,100,50,179,9.3,0.23,No,-0.39,13,7,19,13,7,19,0,0,1,1,0,3,0.21,84,76,92,-0.17,,,,,,,84,71,97,,,,82,71,93,3756,49,32,67,1.05
01013,Alabama,Butler,,441,12717,10845,14589,0.46,,,,,,,,,14141,11401,16881,,,,,,12183,9437,14930,,23,21,25,0.37,4.2,3.9,4.5,0.43,5.2,5.0,5.5,-0.44,,13,11,14,0.96,,,,,,,16,13,18,,,,9,7,11,22,20,25,0.28,45,44,47,1.01,6.8,-0.17,32,30,35,0.41,45,-0.01,14,13,14,-0.90,19,54,35,28,42,0.64,154,791.9,1.26,39,33,45,0.89,,,,,,,39,32,48,,,,40,31,51,1985,13,11,16,0.47,4,21,4876:1,1.05,7,37,2698:1,-0.25,16,85,1180:1,-0.10,4201,0.42,,,4944,,3664,33,0.25,,,40,,29,34,1.08,,,30,,35,11452,13384,86,83,88,-0.35,1897,4615,41,33,49,1.21,468,8796,5.3,0.84,34,23,45,0.69,,,42,31,13,97534,18281,5.3,0.24,1450,4365,33,26,41,-0.09,18,9.2,0.51,104,106,85,126,0.81,,,,,,,111,82,146,,,,106,79,138,9.1,-0.04,No,-0.39,12,9,14,9,7,12,2,1,3,1,0,2,-0.25,87,83,90,0.51,,,,,,,83,77,90,,,,87,82,91,7473,35,30,40,-0.46
01015,Alabama,Calhoun,,2476,11826,11114,12538,0.08,,,,,,,,,12233,10678,13787,,,,,,12018,11174,12861,,20,18,22,-0.43,3.8,3.5,4.1,-0.49,4.9,4.6,5.1,-1.66,,9,9,10,-0.62,,,,,,,15,13,16,7,4,9,8,7,8,21,18,24,-0.23,37,36,39,-0.86,6.0,0.67,28,26,31,-0.64,65,-0.97,16,16,17,0.58,16,112,14,10,19,-1.34,511,449.8,-0.27,30,28,33,-0.20,,,,,,,31,27,34,38,28,50,30,28,33,11431,13,11,15,0.13,68,60,1669:1,-0.65,76,66,1526:1,-1.95,173,149,670:1,-0.98,3722,-0.06,,,4368,2950,3665,30,0.85,,52,35,28,29,39,0.27,,48,30,33,41,68396,80263,85,84,87,-0.26,16042,29150,55,51,59,-0.25,1906,46118,4.1,0.14,25,19,31,-0.31,,13,34,29,15,97183,20163,4.8,-0.45,7608,25246,30,27,34,-0.32,152,13.4,-0.84,528,93,85,100,-0.05,,,,,,,74,60,91,45,22,83,102,92,112,9.7,0.79,No,-0.39,12,11,13,10,9,11,2,1,2,1,0,1,-0.17,85,83,87,0.10,,,,,,,86,83,90,90,81,98,87,85,89,48508,30,27,33,-0.94
