year,county,lbw_gap,poverty_gap,year_filter,lbw_gap_category,poverty_gap_category
2021,Autauga,6,40,2021,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2022,Autauga,6,34,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Autauga,6,30,2023,Moderate Disparity (5-10 points),High Disparity (20-40 points)
9999,Autauga,6,34.666666666666664,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Baldwin,7,23,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Baldwin,7,8,2022,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2023,Baldwin,7,19,2023,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
9999,Baldwin,7,16.666666666666668,All Years,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2021,Barbour,8,50,2021,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2022,Barbour,9,44,2022,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2023,Barbour,9,44,2023,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
9999,Barbour,8.666666666666666,46,All Years,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2021,Bibb,8,4,2021,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2022,Bibb,9,17,2022,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2023,Bibb,9,29,2023,Moderate Disparity (5-10 points),High Disparity (20-40 points)
9999,Bibb,8.666666666666666,16.666666666666668,All Years,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2021,Blount,NA,-11,2021,No Data,Reverse Disparity (White > Black)
2022,Blount,NA,-12,2022,No Data,Reverse Disparity (White > Black)
2023,Blount,NA,7,2023,No Data,Moderate Disparity (0-20 points)
9999,Blount,NA,-5.333333333333333,All Years,No Data,Reverse Disparity (White > Black)
2021,Butler,6,34,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Butler,7,33,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Butler,7,29,2023,Moderate Disparity (5-10 points),High Disparity (20-40 points)
9999,Butler,6.666666666666667,32,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Calhoun,6,33,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Calhoun,7,24,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Calhoun,7,19,2023,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
9999,Calhoun,6.666666666666667,25.333333333333332,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Chambers,8,19,2021,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2022,Chambers,7,12,2022,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2023,Chambers,7,13,2023,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
9999,Chambers,7.333333333333333,14.666666666666666,All Years,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2021,Cherokee,NA,-11,2021,No Data,Reverse Disparity (White > Black)
2022,Cherokee,NA,-7,2022,No Data,Reverse Disparity (White > Black)
2023,Cherokee,NA,20,2023,No Data,High Disparity (20-40 points)
9999,Cherokee,NA,0.6666666666666666,All Years,No Data,Moderate Disparity (0-20 points)
2021,Chilton,8,-12,2021,Moderate Disparity (5-10 points),Reverse Disparity (White > Black)
2022,Chilton,8,9,2022,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2023,Chilton,8,-2,2023,Moderate Disparity (5-10 points),Reverse Disparity (White > Black)
9999,Chilton,8,-1.6666666666666667,All Years,Moderate Disparity (5-10 points),Reverse Disparity (White > Black)
2021,Choctaw,7,46,2021,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2022,Choctaw,8,41,2022,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2023,Choctaw,8,43,2023,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
9999,Choctaw,7.666666666666667,43.333333333333336,All Years,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2021,Clarke,8,33,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Clarke,8,34,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Clarke,8,21,2023,Moderate Disparity (5-10 points),High Disparity (20-40 points)
9999,Clarke,8,29.333333333333332,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Clay,9,19,2021,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2022,Clay,9,23,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Clay,9,51,2023,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
9999,Clay,9,31,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Coffee,9,40,2021,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2022,Coffee,8,48,2022,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2023,Coffee,8,42,2023,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
9999,Coffee,8.333333333333334,43.333333333333336,All Years,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
2021,Colbert,5,22,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Colbert,6,24,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Colbert,6,40,2023,Moderate Disparity (5-10 points),Extreme Disparity (40+ points)
9999,Colbert,5.666666666666667,28.666666666666668,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Conecuh,9,23,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Conecuh,8,34,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Conecuh,8,5,2023,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
9999,Conecuh,8.333333333333334,20.666666666666668,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Coosa,9,34,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Coosa,12,45,2022,High Disparity (10+ points),Extreme Disparity (40+ points)
2023,Coosa,12,43,2023,High Disparity (10+ points),Extreme Disparity (40+ points)
9999,Coosa,11,40.666666666666664,All Years,High Disparity (10+ points),Extreme Disparity (40+ points)
2021,Covington,6,33,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Covington,8,18,2022,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2023,Covington,8,11,2023,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
9999,Covington,7.333333333333333,20.666666666666668,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Crenshaw,6,16,2021,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2022,Crenshaw,7,7,2022,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2023,Crenshaw,7,3,2023,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
9999,Crenshaw,6.666666666666667,8.666666666666666,All Years,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2021,Cullman,NA,4,2021,No Data,Moderate Disparity (0-20 points)
2022,Cullman,NA,-12,2022,No Data,Reverse Disparity (White > Black)
2023,Cullman,NA,-12,2023,No Data,Reverse Disparity (White > Black)
9999,Cullman,NA,-6.666666666666667,All Years,No Data,Reverse Disparity (White > Black)
2021,Dale,7,27,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Dale,7,25,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Dale,7,28,2023,Moderate Disparity (5-10 points),High Disparity (20-40 points)
9999,Dale,7,26.666666666666668,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Dallas,6,31,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Dallas,5,28,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Dallas,5,30,2023,Moderate Disparity (5-10 points),High Disparity (20-40 points)
9999,Dallas,5.333333333333333,29.666666666666668,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,DeKalb,NA,-16,2021,No Data,Reverse Disparity (White > Black)
2022,DeKalb,NA,-18,2022,No Data,Reverse Disparity (White > Black)
2023,DeKalb,NA,-9,2023,No Data,Reverse Disparity (White > Black)
9999,DeKalb,NA,-14.333333333333334,All Years,No Data,Reverse Disparity (White > Black)
2021,Elmore,9,20,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Elmore,9,16,2022,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2023,Elmore,9,9,2023,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
9999,Elmore,9,15,All Years,Moderate Disparity (5-10 points),Moderate Disparity (0-20 points)
2021,Escambia,8,27,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Escambia,8,37,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Escambia,8,33,2023,Moderate Disparity (5-10 points),High Disparity (20-40 points)
9999,Escambia,8,32.333333333333336,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Etowah,6,26,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2022,Etowah,6,25,2022,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2023,Etowah,6,24,2023,Moderate Disparity (5-10 points),High Disparity (20-40 points)
9999,Etowah,6,25,All Years,Moderate Disparity (5-10 points),High Disparity (20-40 points)
2021,Fayette,11,38,2021,High Disparity (10+ points),High Disparity (20-40 points)
2022,Fayette,13,20,2022,High Disparity (10+ points),High Disparity (20-40 points)
2023,Fayette,13,40,2023,High Disparity (10+ points),Extreme Disparity (40+ points)
9999,Fayette,12.333333333333334,32.666666666666664,All Years,High Disparity (10+ points),High Disparity (20-40 points)
2021,Franklin,NA,-5,2021,No Data,Reverse Disparity (White > Black)
2022,Franklin,NA,4,2022,No Data,Moderate Disparity (0-20 points)
2023,Franklin,NA,21,2023,No Data,High Disparity (20-40 points)
9999,Franklin,NA,6.666666666666667,All Years,No Data,Moderate Disparity (0-20 points)
2021,Geneva,11,33,2021,High Disparity (10+ points),High Disparity (20-40 points)
2022,Geneva,11,26,2022,High Disparity (10+ points),High Disparity (20-40 points)
2023,Geneva,11,25,2023,High Disparity (10+ points),High Disparity (20-40 points)
9999,Geneva,11,28,All Years,High Disparity (10+ points),High Disparity (20-40 points)
2021,Greene,NA,41,2021,No Data,Extreme Disparity (40+ points)
2022,Greene,NA,24,2022,No Data,High Disparity (20-40 points)
2023,Greene,NA,46,2023,No Data,Extreme Disparity (40+ points)
9999,Greene,NA,37,All Years,No Data,High Disparity (20-40 points)
2021,Hale,11,36,2021,High Disparity (10+ points),High Disparity (20-40 points)
2022,Hale,11,37,2022,High Disparity (10+ points),High Disparity (20-40 points)
2023,Hale,11,42,2023,High Disparity (10+ points),Extreme Disparity (40+ points)
9999,Hale,11,38.333333333333336,All Years,High Disparity (10+ points),High Disparity (20-40 points)
2021,Henry,11,37,2021,High Disparity (10+ points),High Disparity (20-40 points)
2022,Henry,11,52,2022,High Disparity (10+ points),Extreme Disparity (40+ points)
2023,Henry,11,52,2023,High Disparity (10+ points),Extreme Disparity (40+ points)
9999,Henry,11,47,All Years,High Disparity (10+ points),Extreme Disparity (40+ points)
2021,Houston,9,35,2021,Moderate Disparity (5-10 points),High Disparity (20-40 points)
